Name,Connection Type,App,Platform,Country,Date,Impressions,Ad Revenue,CPM
connection 663,Mock Connection - mopub.com,Tetris,Firefox OS,Germany,2020-05-02,872,9,10
connection 664,Mock Connection - flurry.com,Snake,iOS,United States,2020-05-02,1172,6,5
connection 665,Mock Connection - inmobi.com,Tetris,Android,Canada,2020-05-02,3097,5,1
connection 666,Mock Connection - adcolony.com,Luciano Tetris,Luciano iOS,Japan,2020-05-02,1682,2,1
connection 667,Mock Connection - flurry.com,Tetris,Android,Denmark,2020-05-02,2973,2,0
connection 668,Mock Connection - vungle.com,Tetris,Monte iOS,Denmark,2020-05-02,726,4,6
connection 669,Mock Connection - flurry.com,Tetris,iOS,Brazil,2020-05-02,850,8,10
connection 670,Mock Connection - facebook.com,Michael Tetris,Android,Germany,2020-05-02,1390,5,4
connection 671,Mock Connection - applovin.com,Snake,iOS,Japan,2020-05-02,1270,20,16
connection 672,Mock Connection - mopub.com,Pong,Android,Canada,2020-05-02,6099,34,5
connection 673,Mock Connection - vungle.com,Pong,Firefox OS,Denmark,2020-05-02,1533,33,21
connection 674,Mock Connection - inmobi.com,Snake,iOS,United States,2020-05-02,1312,3,2
connection 675,Mock Connection - facebook.com,Snake,iOS,Brazil,2020-05-02,1131,3,3
connection 676,Mock Connection - facebook.com,Michael Tetris,Firefox OS,United States,2020-05-02,2023,14,7
connection 677,Mock Connection - flurry.com,Snake,Android,Denmark,2020-05-02,2190,7,3
connection 678,Mock Connection - inmobi.com,Tetris,Android,Denmark,2020-05-02,6615,35,5
connection 679,Mock Connection - inmobi.com,Pong,iOS,Japan,2020-05-02,1946,0,0
connection 680,Mock Connection - adcolony.com,Tetris,Firefox OS,Japan,2020-05-02,95,0,4
connection 681,Mock Connection - vungle.com,Snake,Android,Japan,2020-05-02,4303,9,2
connection 682,Mock Connection - adcolony.com,Tetris,Firefox OS,Denmark,2020-05-02,1318,3,2
connection 683,Mock Connection - chartboost.com,Judy Tetris,Android,Brazil,2020-05-02,1216,7,6
connection 684,Mock Connection - applovin.com,Pong,Firefox OS,Japan,2020-05-02,1959,10,5
connection 685,Mock Connection - inmobi.com,Snake,Android,United States,2020-05-02,5704,48,8
connection 686,Mock Connection - applovin.com,Pong,Android,Germany,2020-05-02,465,7,15
connection 687,Mock Connection - facebook.com,Pong,iOS,Germany,2020-05-02,950,14,14
connection 688,Mock Connection - mopub.com,Masako Tetris,Masako iOS,Denmark,2020-05-02,2152,1,0
connection 689,Mock Connection - inmobi.com,Tetris,iOS,Canada,2020-05-02,3323,26,7
connection 690,Mock Connection - facebook.com,Snake,iOS,United States,2020-05-02,3487,8,2
connection 691,Mock Connection - facebook.com,Snake,Firefox OS,United States,2020-05-02,2890,6,2
connection 692,Mock Connection - mopub.com,Masako Tetris,Masako iOS,Brazil,2020-05-02,163,2,15
connection 693,Mock Connection - facebook.com,Michael Tetris,Android,Canada,2020-05-02,150,1,8
connection 694,Mock Connection - flurry.com,Tetris,Firefox OS,Germany,2020-05-02,307,0,1
connection 695,Mock Connection - chartboost.com,Tetris,iOS,Brazil,2020-05-02,1152,2,2
connection 696,Mock Connection - applovin.com,Pong,Firefox OS,Canada,2020-05-02,589,10,17
connection 697,Mock Connection - facebook.com,Tetris,iOS,United States,2020-05-02,452,3,7
connection 698,Mock Connection - mopub.com,Snake,iOS,Brazil,2020-05-02,3420,44,12
connection 699,Mock Connection - mopub.com,Masako Tetris,Android,Canada,2020-05-02,1766,10,5
connection 700,Mock Connection - applovin.com,Tetris,iOS,Denmark,2020-05-02,733,8,11
connection 701,Mock Connection - vungle.com,Monte Tetris,Firefox OS,Japan,2020-05-02,688,0,0
connection 702,Mock Connection - chartboost.com,Pong,Firefox OS,Brazil,2020-05-02,1681,9,5
connection 703,Mock Connection - mopub.com,Snake,Firefox OS,Japan,2020-05-02,1533,8,5
connection 704,Mock Connection - mopub.com,Pong,Android,Denmark,2020-05-02,3498,36,10
connection 705,Mock Connection - inmobi.com,Randy,Firefox OS,Germany,2020-05-02,1487,14,10
connection 706,Mock Connection - applovin.com,Tetris,iOS,Brazil,2020-05-02,122,2,23
connection 707,Mock Connection - chartboost.com,Pong,iOS,Denmark,2020-05-02,2614,12,4
connection 708,Mock Connection - inmobi.com,Snake,iOS,Brazil,2020-05-02,3752,6,1
connection 709,Mock Connection - mopub.com,Pong,Firefox OS,Denmark,2020-05-02,662,4,6
connection 710,Mock Connection - mopub.com,Snake,iOS,United States,2020-05-02,3467,10,2
connection 711,Mock Connection - chartboost.com,Snake,Firefox OS,United States,2020-05-02,7893,10,1
connection 712,Mock Connection - facebook.com,Snake,iOS,Denmark,2020-05-02,3799,2,0
connection 713,Mock Connection - adcolony.com,Luciano Tetris,Firefox OS,United States,2020-05-02,504,0,0
connection 714,Mock Connection - chartboost.com,Tetris,Firefox OS,Denmark,2020-05-02,375,3,9
connection 715,Mock Connection - adcolony.com,2.0,Firefox OS,United States,2020-05-02,307,19,62
connection 716,Mock Connection - flurry.com,Pong,Firefox OS,Denmark,2020-05-02,221,0,2
connection 717,Mock Connection - chartboost.com,Tetris,Firefox OS,Japan,2020-05-02,1548,3,2
connection 718,Mock Connection - chartboost.com,Snake,Android,Japan,2020-05-02,1101,9,9
connection 719,Mock Connection - inmobi.com,Snake,Firefox OS,United States,2020-05-02,2509,25,10
connection 720,Mock Connection - adcolony.com,2.0,Firefox OS,Canada,2020-05-02,1099,8,7
connection 721,Mock Connection - adcolony.com,Pong,Android,Denmark,2020-05-02,1172,0,0
connection 722,Mock Connection - mopub.com,Snake,Firefox OS,Denmark,2020-05-02,3933,8,2
connection 723,Mock Connection - facebook.com,Michael Tetris,Michael iOS,Canada,2020-05-02,1324,2,1
connection 724,Mock Connection - flurry.com,Pong,Android,Brazil,2020-05-02,1357,2,1
connection 725,Mock Connection - chartboost.com,Tetris,iOS,United States,2020-05-02,1198,10,8
connection 726,Mock Connection - vungle.com,Pong,Monte iOS,Brazil,2020-05-02,541,2,4
connection 727,Mock Connection - flurry.com,Snake,Android,Germany,2020-05-02,1925,18,9
connection 728,Mock Connection - applovin.com,Pong,Firefox OS,Germany,2020-05-02,1734,3,2
connection 729,Mock Connection - chartboost.com,Tetris,iOS,Denmark,2020-05-02,2695,14,5
connection 730,Mock Connection - adcolony.com,Luciano Tetris,Firefox OS,Brazil,2020-05-02,854,0,1
connection 731,Mock Connection - chartboost.com,Judy Tetris,Firefox OS,United States,2020-05-02,132,0,0
connection 732,Mock Connection - applovin.com,Snake,Android,Denmark,2020-05-02,1482,5,3
connection 733,Mock Connection - vungle.com,Pong,Android,Denmark,2020-05-02,4062,19,4
connection 734,Mock Connection - flurry.com,Tetris,Others,Germany,2020-05-02,1324,1,1
connection 735,Mock Connection - vungle.com,Tetris,Android,Canada,2020-05-02,1386,2,1
connection 736,Mock Connection - inmobi.com,Pong,iOS,United States,2020-05-02,4389,8,1
connection 737,Mock Connection - flurry.com,Snake,iOS,Germany,2020-05-02,3517,16,4
connection 738,Mock Connection - vungle.com,Pong,Firefox OS,Germany,2020-05-02,6306,20,3
connection 739,Mock Connection - applovin.com,Snake,Firefox OS,Germany,2020-05-02,827,1,1
connection 740,Mock Connection - chartboost.com,Tetris,iOS,Japan,2020-05-02,454,2,5
connection 741,Mock Connection - vungle.com,Snake,Firefox OS,Canada,2020-05-02,1102,15,13
connection 742,Mock Connection - adcolony.com,Pong,Android,Japan,2020-05-02,1133,3,3
connection 743,Mock Connection - vungle.com,Pong,iOS,United States,2020-05-02,3116,9,3
connection 744,Mock Connection - flurry.com,Tetris,iOS,United States,2020-05-02,1092,6,6
connection 745,Mock Connection - flurry.com,Snake,iOS,Japan,2020-05-02,160,3,22
connection 746,Mock Connection - chartboost.com,Pong,Android,Germany,2020-05-02,2427,13,5
connection 747,Mock Connection - adcolony.com,Luciano Tetris,Luciano iOS,Denmark,2020-05-02,336,5,14
connection 748,Mock Connection - applovin.com,Tetris,Android,Japan,2020-05-02,2559,24,9
connection 749,Mock Connection - chartboost.com,Pong,Android,Brazil,2020-05-02,3052,11,3
connection 750,Mock Connection - flurry.com,Tetris,Firefox OS,Denmark,2020-05-02,283,8,29
connection 751,Mock Connection - mopub.com,Masako Tetris,Masako iOS,United States,2020-05-02,611,0,1
connection 752,Mock Connection - facebook.com,Pong,Firefox OS,Brazil,2020-05-02,691,0,0
connection 753,Mock Connection - mopub.com,Snake,Firefox OS,Canada,2020-05-02,1864,10,5
connection 754,Mock Connection - mopub.com,Snake,Android,Japan,2020-05-02,2021,5,2
connection 755,Mock Connection - mopub.com,Tetris,iOS,Japan,2020-05-02,3624,20,5
connection 756,Mock Connection - chartboost.com,Snake,Android,Germany,2020-05-02,3493,5,1
connection 757,Mock Connection - facebook.com,Pong,Firefox OS,Japan,2020-05-02,128,5,45
connection 758,Mock Connection - mopub.com,Tetris,iOS,Canada,2020-05-02,3466,9,2
connection 759,Mock Connection - applovin.com,Tetris,Firefox OS,Brazil,2020-05-02,911,3,3
connection 760,Mock Connection - mopub.com,Snake,Android,Canada,2020-05-02,112,21,187
connection 761,Mock Connection - vungle.com,Tetris,Firefox OS,United States,2020-05-02,256,3,13
connection 762,Mock Connection - applovin.com,Tetris,Android,Germany,2020-05-02,213,6,30
connection 763,Mock Connection - applovin.com,Pong,Firefox OS,Denmark,2020-05-02,1716,4,2
connection 764,Mock Connection - vungle.com,Monte Tetris,Firefox OS,Canada,2020-05-02,1831,17,9
connection 765,Mock Connection - vungle.com,Snake,Firefox OS,Denmark,2020-05-02,9143,54,5
connection 766,Mock Connection - vungle.com,Monte Tetris,Firefox OS,Denmark,2020-05-02,1944,10,5
connection 767,Mock Connection - inmobi.com,Tetris,iOS,United States,2020-05-02,1742,11,6
connection 768,Mock Connection - applovin.com,Snake,Firefox OS,United States,2020-05-02,4464,24,5
connection 769,Mock Connection - applovin.com,Snake,Android,Brazil,2020-05-02,949,14,15
connection 770,Mock Connection - inmobi.com,Randy,GP,Canada,2020-05-02,383,0,2
connection 771,Mock Connection - mopub.com,Snake,iOS,Canada,2020-05-02,1305,18,14
connection 772,Mock Connection - adcolony.com,2.0,Luciano iOS,Germany,2020-05-02,1615,0,0
connection 773,Mock Connection - applovin.com,Snake,iOS,Canada,2020-05-02,1455,8,5
connection 774,Mock Connection - inmobi.com,Snake,Firefox OS,Brazil,2020-05-02,718,16,22
connection 775,Mock Connection - applovin.com,Snake,Firefox OS,Canada,2020-05-02,290,0,1
connection 776,Mock Connection - vungle.com,Pong,iOS,Japan,2020-05-02,1335,24,18
connection 777,Mock Connection - adcolony.com,Luciano Tetris,Luciano iOS,United States,2020-05-02,710,2,3
connection 778,Mock Connection - adcolony.com,Luciano Tetris,Android,Japan,2020-05-02,1939,7,3
connection 779,Mock Connection - mopub.com,Pong,Firefox OS,Japan,2020-05-02,3183,5,1
connection 780,Mock Connection - inmobi.com,Tetris,Android,United States,2020-05-02,3894,21,5
connection 781,Mock Connection - chartboost.com,Pong,iOS,Japan,2020-05-02,1429,1,0
connection 782,Mock Connection - flurry.com,Pong,Android,Germany,2020-05-02,726,0,0
connection 783,Mock Connection - adcolony.com,Tetris,Firefox OS,United States,2020-05-02,504,6,13
connection 784,Mock Connection - inmobi.com,Tetris,iOS,Germany,2020-05-02,2780,20,7
connection 785,Mock Connection - mopub.com,Pong,Firefox OS,Germany,2020-05-02,4400,31,7
connection 786,Mock Connection - facebook.com,Michael Tetris,Michael iOS,Brazil,2020-05-02,529,0,0
connection 787,Mock Connection - facebook.com,Pong,iOS,Denmark,2020-05-02,978,5,5
connection 788,Mock Connection - inmobi.com,Randy,GP,Denmark,2020-05-02,275,6,25
connection 789,Mock Connection - vungle.com,Snake,Firefox OS,Brazil,2020-05-02,3122,20,6
connection 790,Mock Connection - mopub.com,Tetris,iOS,Denmark,2020-05-02,528,2,5
connection 791,Mock Connection - applovin.com,Tetris,Firefox OS,United States,2020-05-02,159,1,7
connection 792,Mock Connection - facebook.com,Tetris,Firefox OS,Germany,2020-05-02,117,0,7
connection 793,Mock Connection - flurry.com,Pong,Firefox OS,Japan,2020-05-02,2285,6,2
connection 794,Mock Connection - flurry.com,Snake,Firefox OS,United States,2020-05-02,5403,8,1
connection 795,Mock Connection - inmobi.com,Randy,Firefox OS,United States,2020-05-02,1145,3,3
connection 796,Mock Connection - inmobi.com,Snake,Firefox OS,Denmark,2020-05-02,2271,12,5
connection 797,Mock Connection - vungle.com,Pong,Monte iOS,Canada,2020-05-02,3539,29,8
connection 798,Mock Connection - chartboost.com,Pong,Android,Denmark,2020-05-02,3028,35,11
connection 799,Mock Connection - vungle.com,Monte Tetris,Android,Germany,2020-05-02,719,11,16
connection 800,Mock Connection - facebook.com,Tetris,Android,Denmark,2020-05-02,1550,7,4
connection 801,Mock Connection - applovin.com,Tetris,Firefox OS,Japan,2020-05-02,250,3,14
connection 802,Mock Connection - facebook.com,Snake,Android,Germany,2020-05-02,2892,4,1
connection 803,Mock Connection - vungle.com,Monte Tetris,Monte iOS,Japan,2020-05-02,1422,2,2
connection 804,Mock Connection - mopub.com,Tetris,Firefox OS,Brazil,2020-05-02,1942,7,3
connection 805,Mock Connection - adcolony.com,Luciano Tetris,Luciano iOS,Brazil,2020-05-02,1116,3,3
connection 806,Mock Connection - vungle.com,Pong,Android,Brazil,2020-05-02,956,10,11
connection 807,Mock Connection - facebook.com,Tetris,Android,Germany,2020-05-02,2535,11,4
connection 808,Mock Connection - flurry.com,Tetris,Firefox OS,Canada,2020-05-02,602,0,1
connection 809,Mock Connection - vungle.com,Tetris,Android,Brazil,2020-05-02,1195,6,5
connection 810,Mock Connection - inmobi.com,Randy,GP,United States,2020-05-02,869,12,14
connection 811,Mock Connection - applovin.com,Snake,Firefox OS,Brazil,2020-05-02,1495,2,1
connection 812,Mock Connection - inmobi.com,Pong,Firefox OS,Brazil,2020-05-02,2024,15,7
connection 813,Mock Connection - flurry.com,Tetris,Android,Japan,2020-05-02,1384,14,10
connection 814,Mock Connection - flurry.com,Pong,Android,Denmark,2020-05-02,1608,1,0
connection 815,Mock Connection - inmobi.com,Snake,Android,Japan,2020-05-02,2350,22,9
connection 816,Mock Connection - chartboost.com,Tetris,Android,Canada,2020-05-02,2749,7,2
connection 817,Mock Connection - chartboost.com,Pong,Firefox OS,Japan,2020-05-02,3227,13,4
connection 818,Mock Connection - chartboost.com,Snake,Firefox OS,Germany,2020-05-02,3127,14,4
connection 819,Mock Connection - adcolony.com,Pong,Luciano iOS,Canada,2020-05-02,904,1,1
connection 820,Mock Connection - inmobi.com,Randy,Firefox OS,Brazil,2020-05-02,1098,14,13
connection 821,Mock Connection - inmobi.com,Snake,Android,Canada,2020-05-02,4387,34,7
connection 822,Mock Connection - vungle.com,Monte Tetris,Android,United States,2020-05-02,548,1,1
connection 823,Mock Connection - inmobi.com,Snake,Android,Brazil,2020-05-02,2776,2,0
connection 824,Mock Connection - chartboost.com,Judy Tetris,Judy iOS,Germany,2020-05-02,333,3,11
connection 825,Mock Connection - inmobi.com,Pong,Android,Brazil,2020-05-02,2608,18,7
connection 826,Mock Connection - vungle.com,Monte Tetris,Monte iOS,Denmark,2020-05-02,3699,33,8
connection 827,Mock Connection - facebook.com,Tetris,iOS,Canada,2020-05-02,2417,14,6
connection 828,Mock Connection - applovin.com,Snake,Android,United States,2020-05-02,2180,22,10
connection 829,Mock Connection - facebook.com,Tetris,Firefox OS,Denmark,2020-05-02,546,1,3
connection 830,Mock Connection - adcolony.com,2.0,Android,Canada,2020-05-02,2089,0,0
connection 831,Mock Connection - adcolony.com,Luciano Tetris,Firefox OS,Germany,2020-05-02,425,4,11
connection 832,Mock Connection - facebook.com,Pong,iOS,Canada,2020-05-02,1868,5,2
connection 833,Mock Connection - mopub.com,Tetris,Firefox OS,Canada,2020-05-02,2378,26,10
connection 834,Mock Connection - inmobi.com,Randy,Android,Brazil,2020-05-02,563,13,24
connection 835,Mock Connection - adcolony.com,Snake,iOS,Germany,2020-05-02,528,4,9
connection 836,Mock Connection - adcolony.com,Luciano Tetris,Android,Denmark,2020-05-02,82,1,15
connection 837,Mock Connection - flurry.com,Snake,Firefox OS,Brazil,2020-05-02,2700,4,1
connection 838,Mock Connection - mopub.com,Snake,Android,Germany,2020-05-02,985,33,33
connection 839,Mock Connection - vungle.com,Pong,Monte iOS,Germany,2020-05-02,2659,11,4
connection 840,Mock Connection - mopub.com,Snake,Android,Denmark,2020-05-02,2408,14,5
connection 841,Mock Connection - chartboost.com,Pong,Android,United States,2020-05-02,4823,23,4
connection 842,Mock Connection - vungle.com,Snake,Monte iOS,Brazil,2020-05-02,2111,6,3
connection 843,Mock Connection - inmobi.com,Tetris,Firefox OS,Canada,2020-05-02,2710,16,5
connection 844,Mock Connection - applovin.com,Snake,Android,Japan,2020-05-02,2278,14,6
connection 845,Mock Connection - inmobi.com,Pong,Android,Germany,2020-05-02,1270,7,6
connection 846,Mock Connection - mopub.com,Tetris,Android,Canada,2020-05-02,2077,15,7
connection 847,Mock Connection - chartboost.com,Snake,Firefox OS,Canada,2020-05-02,218,0,3
connection 848,Mock Connection - flurry.com,Tetris,iOS,Denmark,2020-05-02,337,6,17
connection 849,Mock Connection - mopub.com,Tetris,Android,Japan,2020-05-02,5217,24,4
connection 850,Mock Connection - vungle.com,Pong,iOS,Brazil,2020-05-02,3213,16,5
connection 851,Mock Connection - mopub.com,Masako Tetris,Android,Brazil,2020-05-02,243,2,10
connection 852,Mock Connection - adcolony.com,Luciano Tetris,Firefox OS,Japan,2020-05-02,1337,8,6
connection 853,Mock Connection - facebook.com,Pong,Firefox OS,Denmark,2020-05-02,1556,0,0
connection 854,Mock Connection - applovin.com,Pong,iOS,Denmark,2020-05-02,483,1,2
connection 855,Mock Connection - inmobi.com,Randy,Android,Denmark,2020-05-02,1493,17,11
connection 856,Mock Connection - facebook.com,Michael Tetris,Michael iOS,Japan,2020-05-02,312,2,7
connection 857,Mock Connection - inmobi.com,Tetris,Firefox OS,United States,2020-05-02,3614,13,3
connection 858,Mock Connection - adcolony.com,Luciano Tetris,Android,Germany,2020-05-02,1619,16,10
connection 859,Mock Connection - adcolony.com,Luciano Tetris,Android,United States,2020-05-02,88,0,4
connection 860,Mock Connection - adcolony.com,Pong,Android,Brazil,2020-05-02,1356,5,4
connection 861,Mock Connection - flurry.com,Snake,Android,Brazil,2020-05-02,7220,33,4
connection 862,Mock Connection - vungle.com,Tetris,Firefox OS,Germany,2020-05-02,3355,10,3
connection 863,Mock Connection - chartboost.com,Snake,iOS,Germany,2020-05-02,3527,27,7
connection 864,Mock Connection - vungle.com,Pong,iOS,Canada,2020-05-02,7909,14,1
connection 865,Mock Connection - flurry.com,Pong,Firefox OS,United States,2020-05-02,1928,4,2
connection 866,Mock Connection - vungle.com,Tetris,Monte iOS,United States,2020-05-02,780,1,1
connection 867,Mock Connection - facebook.com,Snake,iOS,Canada,2020-05-02,1627,11,7
connection 868,Mock Connection - mopub.com,Pong,iOS,Japan,2020-05-02,1445,22,15
connection 869,Mock Connection - flurry.com,Snake,Android,Canada,2020-05-02,501,3,6
connection 870,Mock Connection - vungle.com,Snake,Android,Brazil,2020-05-02,2373,21,9
connection 871,Mock Connection - facebook.com,Tetris,Firefox OS,Canada,2020-05-02,3911,2,0
connection 872,Mock Connection - facebook.com,Tetris,Android,Canada,2020-05-02,1302,8,6
connection 873,Mock Connection - flurry.com,Snake,Firefox OS,Denmark,2020-05-02,3759,5,1
connection 874,Mock Connection - chartboost.com,Tetris,Firefox OS,Germany,2020-05-02,191,0,1
connection 875,Mock Connection - applovin.com,Snake,Firefox OS,Japan,2020-05-02,886,10,12
connection 876,Mock Connection - chartboost.com,Judy Tetris,Firefox OS,Canada,2020-05-02,1413,0,0
connection 877,Mock Connection - inmobi.com,Tetris,iOS,Denmark,2020-05-02,3597,36,10
connection 878,Mock Connection - adcolony.com,Luciano Tetris,Luciano iOS,Germany,2020-05-02,243,0,3
connection 879,Mock Connection - inmobi.com,Pong,Android,Canada,2020-05-02,6778,23,3
connection 880,Mock Connection - facebook.com,Tetris,Firefox OS,Brazil,2020-05-02,725,0,0
connection 881,Mock Connection - vungle.com,Monte Tetris,Android,Japan,2020-05-02,302,4,13
connection 882,Mock Connection - applovin.com,Tetris,Firefox OS,Denmark,2020-05-02,2139,6,2
connection 883,Mock Connection - facebook.com,Snake,Android,Denmark,2020-05-02,908,10,11
connection 884,Mock Connection - applovin.com,Tetris,Firefox OS,Germany,2020-05-02,796,1,1
connection 885,Mock Connection - vungle.com,Pong,Monte iOS,Denmark,2020-05-02,328,7,23
connection 886,Mock Connection - flurry.com,Snake,Android,United States,2020-05-02,4900,21,4
connection 887,Mock Connection - vungle.com,Snake,iOS,United States,2020-05-02,5172,31,5
connection 888,Mock Connection - vungle.com,Pong,Android,United States,2020-05-02,3862,30,7
connection 889,Mock Connection - vungle.com,Snake,Monte iOS,Japan,2020-05-02,4769,54,11
connection 890,Mock Connection - inmobi.com,Pong,Firefox OS,Japan,2020-05-02,2065,10,4
connection 891,Mock Connection - adcolony.com,Pong,Luciano iOS,Denmark,2020-05-02,2928,19,6
connection 892,Mock Connection - flurry.com,Pong,Android,Canada,2020-05-02,1233,12,10
connection 893,Mock Connection - applovin.com,Tetris,Android,Denmark,2020-05-02,700,1,1
connection 894,Mock Connection - inmobi.com,Pong,Firefox OS,Denmark,2020-05-02,4475,57,12
connection 895,Mock Connection - vungle.com,Monte Tetris,Monte iOS,Brazil,2020-05-02,1561,1,0
connection 896,Mock Connection - adcolony.com,2.0,Android,Japan,2020-05-02,872,4,5
connection 897,Mock Connection - chartboost.com,Judy Tetris,Judy iOS,Brazil,2020-05-02,640,9,14
connection 898,Mock Connection - inmobi.com,Snake,iOS,Denmark,2020-05-02,6887,38,5
connection 899,Mock Connection - flurry.com,Snake,Android,Japan,2020-05-02,1714,1,0
connection 900,Mock Connection - inmobi.com,Tetris,Android,Japan,2020-05-02,937,1,1
connection 901,Mock Connection - adcolony.com,Luciano Tetris,Firefox OS,Canada,2020-05-02,512,1,2
connection 902,Mock Connection - vungle.com,Snake,Monte iOS,Denmark,2020-05-02,5059,16,3
connection 903,Mock Connection - inmobi.com,Pong,Android,Japan,2020-05-02,2742,32,12
connection 904,Mock Connection - chartboost.com,Snake,iOS,United States,2020-05-02,2258,0,0
connection 905,Mock Connection - flurry.com,Pong,Firefox OS,Germany,2020-05-02,1009,1,1
connection 906,Mock Connection - facebook.com,Snake,Firefox OS,Japan,2020-05-02,1443,2,1
connection 907,Mock Connection - applovin.com,Pong,Firefox OS,United States,2020-05-02,2480,10,4
connection 908,Mock Connection - inmobi.com,Tetris,Firefox OS,Germany,2020-05-02,1260,6,5
connection 909,Mock Connection - chartboost.com,Pong,iOS,Canada,2020-05-02,4622,33,7
connection 910,Mock Connection - vungle.com,Pong,Firefox OS,United States,2020-05-02,3420,15,4
connection 911,Mock Connection - applovin.com,Tetris,iOS,Canada,2020-05-02,2255,10,4
connection 912,Mock Connection - mopub.com,Masako Tetris,Masako iOS,Japan,2020-05-02,49,3,76
connection 913,Mock Connection - vungle.com,Tetris,Firefox OS,Denmark,2020-05-02,3527,24,6
connection 914,Mock Connection - adcolony.com,Snake,Firefox OS,Brazil,2020-05-02,555,3,6
connection 915,Mock Connection - facebook.com,Michael Tetris,Michael iOS,Denmark,2020-05-02,1434,1,0
connection 916,Mock Connection - facebook.com,Michael Tetris,Android,Japan,2020-05-02,2888,2,0
connection 917,Mock Connection - flurry.com,Pong,iOS,Brazil,2020-05-02,1156,1,1
connection 918,Mock Connection - facebook.com,Tetris,Firefox OS,United States,2020-05-02,953,1,1
connection 919,Mock Connection - adcolony.com,Pong,Firefox OS,Japan,2020-05-02,655,11,17
connection 920,Mock Connection - flurry.com,Pong,iOS,Denmark,2020-05-02,2522,12,4
connection 921,Mock Connection - mopub.com,Pong,Android,Germany,2020-05-02,2314,11,4
connection 922,Mock Connection - chartboost.com,Snake,iOS,Japan,2020-05-02,4590,23,5
connection 923,Mock Connection - vungle.com,Pong,Firefox OS,Brazil,2020-05-02,7325,46,6
connection 924,Mock Connection - vungle.com,Tetris,Android,Germany,2020-05-02,2971,19,6
connection 925,Mock Connection - vungle.com,Tetris,Android,United States,2020-05-02,641,6,10
connection 926,Mock Connection - vungle.com,Monte Tetris,Monte iOS,Germany,2020-05-02,3559,24,6
connection 927,Mock Connection - flurry.com,Pong,Firefox OS,Canada,2020-05-02,503,3,7
connection 928,Mock Connection - adcolony.com,Pong,Luciano iOS,Brazil,2020-05-02,1495,15,10
connection 929,Mock Connection - inmobi.com,Pong,iOS,Brazil,2020-05-02,1279,18,14
connection 930,Mock Connection - vungle.com,Snake,Android,United States,2020-05-02,4324,18,4
connection 931,Mock Connection - chartboost.com,Tetris,Android,United States,2020-05-02,755,3,4
connection 932,Mock Connection - adcolony.com,2.0,Android,Germany,2020-05-02,1971,9,4
connection 933,Mock Connection - adcolony.com,2.0,Luciano iOS,Canada,2020-05-02,283,8,28
connection 934,Mock Connection - vungle.com,Tetris,iOS,Brazil,2020-05-02,2379,8,3
connection 935,Mock Connection - vungle.com,Snake,Firefox OS,Japan,2020-05-02,5713,28,5
connection 936,Mock Connection - chartboost.com,Pong,Firefox OS,Canada,2020-05-02,2467,15,6
connection 937,Mock Connection - facebook.com,Snake,Android,United States,2020-05-02,338,1,3
connection 938,Mock Connection - facebook.com,Michael Tetris,Firefox OS,Canada,2020-05-02,1554,9,6
connection 939,Mock Connection - flurry.com,Pong,Android,Japan,2020-05-02,3320,6,2
connection 940,Mock Connection - mopub.com,Pong,iOS,Germany,2020-05-02,2537,1,0
connection 941,Mock Connection - facebook.com,Pong,Firefox OS,Germany,2020-05-02,519,18,35
connection 942,Mock Connection - applovin.com,Snake,Android,Germany,2020-05-02,1150,9,8
connection 943,Mock Connection - applovin.com,Pong,iOS,Germany,2020-05-02,540,1,3
connection 944,Mock Connection - flurry.com,Tetris,Android,Brazil,2020-05-02,464,4,9
connection 945,Mock Connection - vungle.com,Monte Tetris,Android,Brazil,2020-05-02,308,4,15
connection 946,Mock Connection - facebook.com,Snake,iOS,Germany,2020-05-02,1120,10,9
connection 947,Mock Connection - vungle.com,Pong,Android,Germany,2020-05-02,5181,22,4
connection 948,Mock Connection - chartboost.com,Tetris,Android,Denmark,2020-05-02,2089,5,2
connection 949,Mock Connection - adcolony.com,2.0,Firefox OS,Germany,2020-05-02,1941,10,5
connection 950,Mock Connection - facebook.com,Tetris,Android,Brazil,2020-05-02,2519,7,3
connection 951,Mock Connection - chartboost.com,Judy Tetris,Android,Germany,2020-05-02,348,3,11
connection 952,Mock Connection - vungle.com,Pong,Android,Canada,2020-05-02,5026,27,5
connection 953,Mock Connection - adcolony.com,Luciano Tetris,Android,Canada,2020-05-02,1157,7,6
connection 954,Mock Connection - mopub.com,Masako Tetris,Firefox OS,Brazil,2020-05-02,360,0,1
connection 955,Mock Connection - vungle.com,Snake,iOS,Brazil,2020-05-02,2785,20,7
connection 956,Mock Connection - adcolony.com,2.0,Android,Brazil,2020-05-02,589,2,4
connection 957,Mock Connection - inmobi.com,Snake,iOS,Germany,2020-05-02,3720,18,4
connection 958,Mock Connection - mopub.com,Tetris,iOS,Brazil,2020-05-02,1661,4,2
connection 959,Mock Connection - vungle.com,Pong,Monte iOS,Japan,2020-05-02,3054,15,5
connection 960,Mock Connection - vungle.com,Snake,Android,Germany,2020-05-02,11290,38,3
connection 961,Mock Connection - mopub.com,Masako Tetris,Firefox OS,Denmark,2020-05-02,2321,6,2
connection 962,Mock Connection - mopub.com,Masako Tetris,Masako iOS,Canada,2020-05-02,1784,1,0
connection 963,Mock Connection - adcolony.com,2.0,Firefox OS,Denmark,2020-05-02,1050,2,2
